epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4582,1.86183,6.71996,1.90964,0.00084,0.01961,0.00058,0.00034,1.80165,5.08894,1.94076,7.69e-06,7.69e-06,7.69e-06
2,118.493,1.82432,6.19569,1.89056,0.0015,0.02941,0.00104,0.00071,1.69531,4.6383,1.86595,2.07861e-05,2.07861e-05,2.07861e-05
3,176.839,1.75461,4.55431,1.89246,0.10365,0.27451,0.13037,0.04711,1.69315,4.05473,1.87371,3.08369e-05,3.08369e-05,3.08369e-05
4,233.056,1.70923,3.80909,1.76908,0.15152,0.17255,0.1799,0.07139,1.63118,3.85866,1.80855,3.78425e-05,3.78425e-05,3.78425e-05
5,287.746,1.72192,3.49505,1.70375,0.49838,0.22549,0.23391,0.12139,1.55063,4.40828,1.70471,4.18028e-05,4.18028e-05,4.18028e-05
6,344.434,1.532,3.0959,1.64379,0.68566,0.27475,0.29586,0.16394,1.48237,4.89584,1.68257,4.2718e-05,4.2718e-05,4.2718e-05
7,395.424,1.55856,2.85185,1.668,0.80538,0.22737,0.32397,0.1943,1.49875,4.58668,1.6835,4.05878e-05,4.05878e-05,4.05878e-05
8,440.775,1.58755,2.68785,1.73654,0.77611,0.30477,0.36139,0.21697,1.51067,4.01733,1.69601,3.54125e-05,3.54125e-05,3.54125e-05
9,492.574,1.57709,2.56354,1.63767,0.75353,0.30468,0.38462,0.22894,1.51669,3.7448,1.69407,2.71918e-05,2.71918e-05,2.71918e-05
10,549.905,1.42814,2.39031,1.63265,0.68914,0.35133,0.39785,0.24269,1.52101,3.42487,1.69193,1.5926e-05,1.5926e-05,1.5926e-05
